"ID","endowment","locale","treatment","wave","start_time","end_time","participant_label","link"
1,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c7d0759b8ee","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c7d0759b8ee"
2,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cdb458a7d1b","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cdb458a7d1b"
3,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c273828dd0e","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c273828dd0e"
4,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c1ebe131f81","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c1ebe131f81"
5,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ce3a06d40c3","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ce3a06d40c3"
6,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf5eb8cde25","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf5eb8cde25"
7,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c51784d80ea","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c51784d80ea"
8,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ceaa27c9865","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ceaa27c9865"
9,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ceb88bb09bd","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ceb88bb09bd"
10,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cb29b598dd8","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cb29b598dd8"
11,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c9fb844db89","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c9fb844db89"
12,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c6c6a5aa0d5","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c6c6a5aa0d5"
13,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf61d75bba2","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf61d75bba2"
14,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c98fefc180d","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c98fefc180d"
15,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c90f5e40e75","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c90f5e40e75"
16,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c1acadfbb86","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c1acadfbb86"
17,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cedd66ff829","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cedd66ff829"
18,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c8729151b0f","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c8729151b0f"
19,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cfa523d2b70","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cfa523d2b70"
20,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cb322be3a1a","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cb322be3a1a"
21,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ca062fb418e","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ca062fb418e"
22,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c2e8d8563e7","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c2e8d8563e7"
23,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c463ff44698","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c463ff44698"
24,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c1da9309927","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c1da9309927"
25,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c5bb4a8b1db","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c5bb4a8b1db"
26,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c131b44ac21","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c131b44ac21"
27,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c5505befddc","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c5505befddc"
28,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c14a879344e","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c14a879344e"
29,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cdea078ad89","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cdea078ad89"
30,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf3399b5320","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf3399b5320"
31,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c86bc5df8d3","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c86bc5df8d3"
32,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c63576fbc84","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c63576fbc84"
33,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c0462c88fd8","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c0462c88fd8"
34,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf528be9ebd","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf528be9ebd"
35,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c8c17e934ad","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c8c17e934ad"
36,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c0f829cad7b","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c0f829cad7b"
37,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ce3b8cf66c8","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ce3b8cf66c8"
38,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c67b0d98aab","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c67b0d98aab"
39,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c598a08a438","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c598a08a438"
40,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c9da8578d84","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c9da8578d84"
41,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c8cb3ce5ff3","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c8cb3ce5ff3"
42,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c6038fcd24e","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c6038fcd24e"
43,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ca086f2a118","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ca086f2a118"
44,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ca828cfa137","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ca828cfa137"
45,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c5d2ab454aa","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c5d2ab454aa"
46,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c376375e84b","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c376375e84b"
47,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c3249960a73","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c3249960a73"
48,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c6d44d0273a","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c6d44d0273a"
49,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c7ff73a4d81","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c7ff73a4d81"
50,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c628b781e22","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c628b781e22"
51,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c3a706b9cbd","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c3a706b9cbd"
52,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c677509c155","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c677509c155"
53,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf6782ea50e","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf6782ea50e"
54,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cbf75b644d7","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cbf75b644d7"
55,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c5dd20949fb","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c5dd20949fb"
56,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ce957d43982","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ce957d43982"
57,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c262e1841ad","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c262e1841ad"
58,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf9042d11d3","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf9042d11d3"
59,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ca34b1a39e3","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ca34b1a39e3"
60,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cf5c62caa7e","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cf5c62caa7e"
61,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cd7a49cd68c","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cd7a49cd68c"
62,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cb9cca2b7c0","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cb9cca2b7c0"
63,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ceefe3aa33c","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ceefe3aa33c"
64,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cab40f4a5bb","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cab40f4a5bb"
65,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ce358e5d43b","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ce358e5d43b"
66,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c3955cfc280","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c3955cfc280"
67,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c1fbeb23182","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c1fbeb23182"
68,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cb3e2beb152","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cb3e2beb152"
69,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cc36dabcfc7","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cc36dabcfc7"
70,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c7893ea3e86","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c7893ea3e86"
71,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","ccc049b7107","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=ccc049b7107"
72,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c758913ef87","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c758913ef87"
73,5,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c280c842c01","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c280c842c01"
74,10,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","c253bc9043b","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=c253bc9043b"
75,15,"usa",1,6,"2020-10-29 04:01","2020-10-30 03:59","cef7704beae","https://w6.elicitingbeliefs.org/room/w6t1/?participant_label=cef7704beae"
