"ID","endowment","locale","treatment","wave","start_time","end_time","participant_label","link"
1,5,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","56246a662d","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=56246a662d"
2,10,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","b48f35c7a8","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=b48f35c7a8"
3,15,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","6b6a6bdbe8","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=6b6a6bdbe8"
4,5,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","d6f8c051f5","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=d6f8c051f5"
5,10,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","400673a562","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=400673a562"
6,15,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","b310576619","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=b310576619"
7,5,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","8486f3c53e","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=8486f3c53e"
8,10,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","f0f0e117a4","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=f0f0e117a4"
9,15,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","87c5094dfe","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=87c5094dfe"
10,5,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","81ea5c18bf","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=81ea5c18bf"
11,10,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","f144451e32","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=f144451e32"
12,15,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","46beda7f37","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=46beda7f37"
13,5,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","d718e57909","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=d718e57909"
14,10,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","e85d6aaf8f","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=e85d6aaf8f"
15,15,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","30d0211839","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=30d0211839"
16,5,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","35d72fe303","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=35d72fe303"
17,10,"usa",1,4,"2020-08-31 04:01","2020-09-01 03:59","66abc2c637","https://w4.elicitingbeliefs.org/room/w4t1/?participant_label=66abc2c637"
