"ID","endowment","locale","treatment","wave","start_time","end_time","participant_label","link"
1,5,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","9ad018f1e2","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=9ad018f1e2"
2,10,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","c9045104fe","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=c9045104fe"
3,15,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","54537bc539","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=54537bc539"
4,5,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","044e0177e1","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=044e0177e1"
5,10,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","185b17ffc3","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=185b17ffc3"
6,15,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","1231ec33b5","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=1231ec33b5"
7,5,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","dfa6e952d3","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=dfa6e952d3"
8,10,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","8e2ab48ce8","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=8e2ab48ce8"
9,15,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","6f3c4ad06b","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=6f3c4ad06b"
10,5,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","8fb7ba22f8","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=8fb7ba22f8"
11,10,"usa",2,3,"2020-07-31 04:01","2020-08-01 03:59","5b3626976a","https://w3.elicitingbeliefs.org/room/w3t2/?participant_label=5b3626976a"
